series,year,gdp,gni,gdp_capita,gni_capita
abs,1970,73709.682,76983.205,6773.39,7074.204
abs,1971,81106.199,83746.673,7265.66,7503.945
abs,1972,88720.81,91918.37,7751.699,8032.858
abs,1973,99102.104,101584.245,8455.832,8667.553
abs,1974,107346.073,109385.703,8941.871,9117.128
abs,1975,108205.988,111851.757,8798.552,9090.682
abs,1976,120718.377,123838.235,9589.923,9837.771
abs,1977,130077.743,133193.374,10082.193,10327.015
abs,1978,138732.976,141107.227,10509.519,10688.523
abs,1979,151703.26,154006.765,11223.58,11394.333
abs,1980,162992.754,167483.429,11743.564,12068.946
abs,1981,174307.881,180059.31,12226.928,12630.473
abs,1982,184667.264,188322.346,12604.099,12852.745
abs,1983,196213.087,195591.009,13039.86,12997.026
abs,1984,211442.735,208673.824,13684.346,13507.86
abs,1985,209274.918,205565.925,13175.348,12942.433
abs,1986,211871.172,211610.146,12973.946,12958.031
abs,1987,222871.38,222910.891,13286.801,13289.009
abs,1988,245019.713,248173.774,14229.576,14413.756
abs,1989,267217.521,269737.292,15128.372,15271.962
abs,1990,291289.883,297756.392,16090.387,16449.432
abs,1991,319094.864,323490.848,17203.576,17442.373
abs,1992,347446.82,346281.63,18223.312,18159.985
abs,1993,381826.485,381119.511,19479.429,19442.9
abs,1994,417000.501,415600.051,20702.562,20632.087
abs,1995,457987.835,454597.155,22145.584,21979.44
abs,1996,503798.988,498239.701,23737.032,23476.175
abs,1997,540690.887,533956.291,24836.478,24527.696
abs,1998,500899.2,506098.288,22428.692,22661.904
abs,1999,531642.449,526622.0,23206.549,22987.027
abs,2000,578739.953,560285.341,24632.104,23847.353
abs,2001,581735.947,567552.975,24208.28,23618.101
abs,2002,613097.264,601651.662,24981.23,24514.579
abs,2003,648586.394,644658.676,25903.574,25746.382
abs,2004,692582.849,689190.045,27116.586,26983.317
abs,2005,729512.33,725841.3,28008.077,27867.819
abs,2006,772180.479,779772.006,29084.686,29369.934
abs,2007,822219.26,826024.477,30387.01,30528.171
abs,2008,861746.893,845705.943,31259.015,30677.013
abs,2009,847648.672,851031.777,30185.653,30305.762
abs,2010,908628.92,884216.877,31782.997,30929.129
abs,2011,956730.943,932856.961,32920.119,32098.742
abs,2012,1009097.173,969270.593,34195.51,32845.87
abs,2013,1056461.394,1019210.369,34966.496,33733.086
abs,2014,1119920.092,1081263.192,36469.753,35210.666
abs,2015,1176941.0,1155866.0,37739.0,37063.0
abs,2016,1229312.0,1211301.0,38861.0,38292.0
abs,2017,1300769.0,1281719.0,40620.0,40025.0
abs,2018,1363766.0,1335058.0,42115.0,41228.0
abs,2019,1423952.0,1402096.0,43783.0,43111.0
abs,2020,1346249.0,1332466.0,41490.0,41065.0
abs,2021,1390900.0,1370000.0,42697.078,42055.501
abs,2022,1514100.0,1484000.0,46305.584,45385.039
abs,2023,1568000.0,1542900.0,46975.643,46223.674
abs,2024,1599100.0,1583700.0,46975.643,46223.674